Ls TT EB_gmv TEB_gmv
358 5.306356e-17 1.006768e-17 8.259044e-18
359 5.249045e-17 9.968385e-18 8.177757e-18
360 5.193714e-17 9.870366e-18 8.097479e-18
361 5.138795e-17 9.773603e-18 8.018211e-18
362 5.083657e-17 9.678078e-18 7.939956e-18
363 5.029383e-17 9.583777e-18 7.862716e-18
364 4.976270e-17 9.490681e-18 7.786472e-18
365 4.924051e-17 9.398767e-18 7.711188e-18
366 4.872601e-17 9.308015e-18 7.636826e-18
367 4.821756e-17 9.218402e-18 7.563351e-18
368 4.771130e-17 9.129911e-18 7.490750e-18
369 4.720864e-17 9.042526e-18 7.419017e-18
370 4.671846e-17 8.956233e-18 7.348148e-18
371 4.623852e-17 8.871015e-18 7.278140e-18
372 4.575853e-17 8.786858e-18 7.208992e-18
373 4.528145e-17 8.703747e-18 7.140706e-18
374 4.481458e-17 8.621669e-18 7.073282e-18
375 4.435619e-17 8.540608e-18 7.006710e-18
376 4.390307e-17 8.460545e-18 6.940959e-18
377 4.345424e-17 8.381462e-18 6.875996e-18
378 4.300975e-17 8.303342e-18 6.811788e-18
379 4.257067e-17 8.226168e-18 6.748316e-18
380 4.213833e-17 8.149932e-18 6.685578e-18
381 4.171387e-17 8.074621e-18 6.623572e-18
382 4.129390e-17 8.000225e-18 6.562299e-18
383 4.087387e-17 7.926731e-18 6.501755e-18
384 4.046009e-17 7.854124e-18 6.441936e-18
385 4.005962e-17 7.782388e-18 6.382837e-18
386 3.966389e-17 7.711508e-18 6.324452e-18
387 3.926536e-17 7.641472e-18 6.266769e-18
388 3.887112e-17 7.572268e-18 6.209771e-18
389 3.848572e-17 7.503888e-18 6.153439e-18
390 3.810361e-17 7.436321e-18 6.097756e-18
391 3.772348e-17 7.369555e-18 6.042713e-18
392 3.735164e-17 7.303577e-18 5.988304e-18
393 3.698754e-17 7.238375e-18 5.934524e-18
394 3.662312e-17 7.173936e-18 5.881367e-18
395 3.625982e-17 7.110249e-18 5.828826e-18
396 3.590639e-17 7.047304e-18 5.776892e-18
397 3.556007e-17 6.985092e-18 5.725555e-18
398 3.521181e-17 6.923600e-18 5.674805e-18
399 3.486562e-17 6.862821e-18 5.624635e-18
400 3.453063e-17 6.802744e-18 5.575035e-18
401 3.420325e-17 6.743360e-18 5.525998e-18
402 3.387551e-17 6.684660e-18 5.477516e-18
403 3.354672e-17 6.626633e-18 5.429579e-18
404 3.321916e-17 6.569269e-18 5.382176e-18
405 3.289682e-17 6.512559e-18 5.335296e-18
406 3.258284e-17 6.456491e-18 5.288929e-18
407 3.227408e-17 6.401057e-18 5.243068e-18
408 3.196721e-17 6.346249e-18 5.197713e-18
409 3.166484e-17 6.292060e-18 5.152861e-18
410 3.136892e-17 6.238482e-18 5.108512e-18
411 3.107350e-17 6.185508e-18 5.064664e-18
412 3.077434e-17 6.133129e-18 5.021309e-18
413 3.047952e-17 6.081337e-18 4.978440e-18
414 3.019594e-17 6.030124e-18 4.936050e-18
415 2.991707e-17 5.979482e-18 4.894132e-18
416 2.963641e-17 5.929402e-18 4.852680e-18
417 2.935784e-17 5.879878e-18 4.811685e-18
418 2.908544e-17 5.830900e-18 4.771140e-18
419 2.881576e-17 5.782463e-18 4.731040e-18
420 2.854546e-17 5.734557e-18 4.691374e-18
421 2.827854e-17 5.687177e-18 4.652134e-18
422 2.801921e-17 5.640315e-18 4.613312e-18
423 2.776494e-17 5.593963e-18 4.574897e-18
424 2.751177e-17 5.548116e-18 4.536886e-18
425 2.725807e-17 5.502767e-18 4.499279e-18
426 2.700372e-17 5.457910e-18 4.462075e-18
427 2.675337e-17 5.413538e-18 4.425277e-18
428 2.651217e-17 5.369646e-18 4.388880e-18
429 2.627641e-17 5.326227e-18 4.352878e-18
430 2.603927e-17 5.283275e-18 4.317264e-18
431 2.580064e-17 5.240784e-18 4.282029e-18
432 2.556394e-17 5.198746e-18 4.247166e-18
433 2.533130e-17 5.157157e-18 4.212671e-18
434 2.510388e-17 5.116011e-18 4.178543e-18
435 2.488050e-17 5.075302e-18 4.144780e-18
436 2.465810e-17 5.035025e-18 4.111381e-18
437 2.443620e-17 4.995174e-18 4.078337e-18
438 2.421727e-17 4.955742e-18 4.045636e-18
439 2.400237e-17 4.916725e-18 4.013264e-18
440 2.379018e-17 4.878114e-18 3.981207e-18
441 2.357955e-17 4.839906e-18 3.949455e-18
442 2.337002e-17 4.802096e-18 3.918015e-18
443 2.316186e-17 4.764681e-18 3.886898e-18
444 2.295715e-17 4.727657e-18 3.856117e-18
445 2.275752e-17 4.691022e-18 3.825685e-18
446 2.256052e-17 4.654772e-18 3.795600e-18
447 2.236287e-17 4.618898e-18 3.765844e-18
448 2.216467e-17 4.583394e-18 3.736398e-18
449 2.196761e-17 4.548253e-18 3.707244e-18
450 2.177397e-17 4.513469e-18 3.678364e-18
451 2.158636e-17 4.479038e-18 3.649758e-18
452 2.140360e-17 4.444956e-18 3.621429e-18
453 2.122004e-17 4.411222e-18 3.593385e-18
454 2.103366e-17 4.377834e-18 3.565629e-18
455 2.084982e-17 4.344786e-18 3.538164e-18
456 2.067254e-17 4.312076e-18 3.510982e-18
457 2.049834e-17 4.279697e-18 3.484075e-18
458 2.032293e-17 4.247644e-18 3.457436e-18
459 2.014705e-17 4.215911e-18 3.431057e-18
460 1.997325e-17 4.184496e-18 3.404936e-18
461 1.980220e-17 4.153395e-18 3.379074e-18
462 1.963319e-17 4.122607e-18 3.353472e-18
463 1.946587e-17 4.092127e-18 3.328133e-18
464 1.930039e-17 4.061953e-18 3.303056e-18
465 1.913705e-17 4.032082e-18 3.278237e-18
466 1.897646e-17 4.002507e-18 3.253667e-18
467 1.881890e-17 3.973225e-18 3.229339e-18
