Ls T E B
490 1.544663e-17 3.006603e-18 2.896350e-18
491 1.538457e-17 3.000855e-18 2.890978e-18
492 1.532292e-17 2.995133e-18 2.885634e-18
493 1.526140e-17 2.989426e-18 2.880317e-18
494 1.520014e-17 2.983758e-18 2.875013e-18
495 1.513916e-17 2.978118e-18 2.869735e-18
496 1.507831e-17 2.972490e-18 2.864485e-18
497 1.501787e-17 2.966904e-18 2.859262e-18
498 1.495756e-17 2.961330e-18 2.854052e-18
499 1.489752e-17 2.955784e-18 2.848883e-18
500 1.483775e-17 2.950265e-18 2.843714e-18
501 1.477825e-17 2.944772e-18 2.838585e-18
502 1.471888e-17 2.939293e-18 2.833469e-18
503 1.465978e-17 2.933841e-18 2.828380e-18
504 1.460095e-17 2.928429e-18 2.823319e-18
505 1.454239e-17 2.923031e-18 2.818270e-18
506 1.448397e-17 2.917646e-18 2.813249e-18
507 1.442581e-17 2.912302e-18 2.808255e-18
508 1.436793e-17 2.906971e-18 2.803274e-18
509 1.431031e-17 2.901667e-18 2.798320e-18
510 1.425283e-17 2.896390e-18 2.793393e-18
511 1.419561e-17 2.891126e-18 2.788479e-18
512 1.413867e-17 2.885890e-18 2.783579e-18
513 1.408200e-17 2.880680e-18 2.778719e-18
514 1.402546e-17 2.875497e-18 2.773873e-18
515 1.396919e-17 2.870328e-18 2.769040e-18
516 1.391305e-17 2.865185e-18 2.764234e-18
517 1.385718e-17 2.860056e-18 2.759455e-18
518 1.378745e-17 2.854954e-18 2.754690e-18
519 1.370372e-17 2.849879e-18 2.749951e-18
520 1.362066e-17 2.844831e-18 2.745226e-18
521 1.353800e-17 2.839796e-18 2.740528e-18
522 1.345594e-17 2.834775e-18 2.735843e-18
523 1.337433e-17 2.829794e-18 2.731185e-18
524 1.329321e-17 2.824826e-18 2.726541e-18
525 1.321258e-17 2.819872e-18 2.721910e-18
526 1.313244e-17 2.814945e-18 2.717319e-18
527 1.305280e-17 2.810045e-18 2.712729e-18
528 1.297363e-17 2.805159e-18 2.708165e-18
529 1.289495e-17 2.800299e-18 2.703629e-18
530 1.281675e-17 2.795452e-18 2.699105e-18
531 1.273901e-17 2.790633e-18 2.694596e-18
532 1.266175e-17 2.785827e-18 2.690113e-18
533 1.258495e-17 2.781048e-18 2.685643e-18
534 1.250863e-17 2.776283e-18 2.681201e-18
535 1.243276e-17 2.771544e-18 2.676772e-18
536 1.235736e-17 2.766819e-18 2.672370e-18
537 1.228240e-17 2.762121e-18 2.667968e-18
