Ls TT TE TB EE EB TE_gmv EB_gmv TEB_gmv TEB_iter TEB_iter_ext
128 1.258345e-15 1.280157e-15 3.625806e-15 6.510302e-16 3.196665e-16 3.216103e-16 2.143950e-16 1.604715e-16 1.089996e-16 1.049022e-16
129 1.221343e-15 1.249682e-15 3.515839e-15 6.338793e-16 3.099264e-16 3.131149e-16 2.081529e-16 1.559061e-16 1.060239e-16 1.020348e-16
130 1.185699e-15 1.220292e-15 3.410039e-15 6.173454e-16 3.005557e-16 3.049247e-16 2.021423e-16 1.515076e-16 1.031558e-16 9.927106e-17
131 1.151334e-15 1.191940e-15 3.308211e-15 6.014012e-16 2.915377e-16 2.970265e-16 1.963529e-16 1.472696e-16 1.003904e-16 9.660637e-17
132 1.118253e-15 1.164581e-15 3.210175e-15 5.860211e-16 2.828566e-16 2.894078e-16 1.907748e-16 1.431852e-16 9.772326e-17 9.403640e-17
133 1.086369e-15 1.138172e-15 3.115771e-15 5.711805e-16 2.744974e-16 2.820563e-16 1.853987e-16 1.392467e-16 9.515015e-17 9.155706e-17
134 1.055641e-15 1.112674e-15 3.024826e-15 5.568563e-16 2.664458e-16 2.749591e-16 1.802158e-16 1.354489e-16 9.266700e-17 8.916444e-17
135 1.026051e-15 1.088047e-15 2.937203e-15 5.430264e-16 2.586884e-16 2.681110e-16 1.752177e-16 1.317845e-16 9.026998e-17 8.685483e-17
136 9.985684e-16 1.064257e-15 2.852745e-15 5.296698e-16 2.512123e-16 2.614950e-16 1.703965e-16 1.282489e-16 8.795543e-17 8.462473e-17
137 9.715052e-16 1.041267e-15 2.771321e-15 5.167666e-16 2.440054e-16 2.550938e-16 1.657446e-16 1.248431e-16 8.571988e-17 8.247078e-17
138 9.453144e-16 1.019046e-15 2.692800e-15 5.042980e-16 2.370560e-16 2.489741e-16 1.612548e-16 1.215614e-16 8.356004e-17 8.038980e-17
139 9.198917e-16 9.975625e-16 2.617059e-15 4.922459e-16 2.303533e-16 2.430890e-16 1.569203e-16 1.183913e-16 8.147277e-17 7.837878e-17
140 8.952944e-16 9.767859e-16 2.543980e-15 4.805932e-16 2.238867e-16 2.373458e-16 1.527346e-16 1.153222e-16 7.945507e-17 7.643482e-17
141 8.714464e-16 9.566883e-16 2.473450e-15 4.693235e-16 2.176464e-16 2.317834e-16 1.486915e-16 1.123547e-16 7.750412e-17 7.455519e-17
142 8.484276e-16 9.372428e-16 2.405368e-15 4.584215e-16 2.116230e-16 2.264046e-16 1.447852e-16 1.094870e-16 7.561720e-17 7.273729e-17
143 8.261742e-16 9.184235e-16 2.339623e-15 4.478722e-16 2.058073e-16 2.211935e-16 1.410100e-16 1.067141e-16 7.379174e-17 7.097862e-17
144 8.045892e-16 9.002059e-16 2.276131e-15 4.376616e-16 2.001909e-16 2.161475e-16 1.373607e-16 1.040313e-16 7.202527e-17 6.927682e-17
145 7.837924e-16 8.825668e-16 2.214788e-15 4.277762e-16 1.947656e-16 2.112609e-16 1.338321e-16 1.014358e-16 7.031547e-17 6.762963e-17
146 7.635997e-16 8.654839e-16 2.155517e-15 4.182033e-16 1.895237e-16 2.065271e-16 1.304195e-16 9.892448e-17 6.866009e-17 6.603490e-17
147 7.440894e-16 8.489358e-16 2.098228e-15 4.089306e-16 1.844578e-16 2.019407e-16 1.271181e-16 9.649310e-17 6.705701e-17 6.449058e-17
148 7.251833e-16 8.329022e-16 2.042845e-15 3.999465e-16 1.795607e-16 1.974963e-16 1.239237e-16 9.413968e-17 6.550419e-17 6.299471e-17
149 7.068982e-16 8.173637e-16 1.989291e-15 3.912398e-16 1.748259e-16 1.931883e-16 1.208320e-16 9.186152e-17 6.399970e-17 6.154541e-17
150 6.891944e-16 8.023019e-16 1.937495e-15 3.828000e-16 1.702468e-16 1.890111e-16 1.178390e-16 8.965445e-17 6.254168e-17 6.014090e-17
151 6.720426e-16 7.876990e-16 1.887387e-15 3.746168e-16 1.658174e-16 1.849620e-16 1.149409e-16 8.751609e-17 6.112837e-17 5.877949e-17
152 6.554392e-16 7.735381e-16 1.838901e-15 3.666807e-16 1.615319e-16 1.810365e-16 1.121340e-16 8.544427e-17 5.975807e-17 5.745952e-17
153 6.393547e-16 7.598031e-16 1.791976e-15 3.589823e-16 1.573846e-16 1.772274e-16 1.094150e-16 8.343634e-17 5.842917e-17 5.617947e-17
154 6.237638e-16 7.464785e-16 1.746549e-15 3.515127e-16 1.533701e-16 1.735304e-16 1.067803e-16 8.148987e-17 5.714013e-17 5.493782e-17
155 6.086636e-16 7.335496e-16 1.702567e-15 3.442636e-16 1.494836e-16 1.699424e-16 1.042269e-16 7.960258e-17 5.588947e-17 5.373316e-17
156 5.939762e-16 7.210020e-16 1.659971e-15 3.372268e-16 1.457200e-16 1.664591e-16 1.017518e-16 7.777221e-17 5.467577e-17 5.256413e-17
157 5.797854e-16 7.088223e-16 1.618712e-15 3.303946e-16 1.420748e-16 1.630767e-16 9.935191e-17 7.599675e-17 5.349769e-17 5.142943e-17
