Ls T E B
387 1.720422e-17 2.068858e-18 1.932838e-18
388 1.723101e-17 2.062975e-18 1.927373e-18
389 1.725780e-17 2.057132e-18 1.921934e-18
390 1.728459e-17 2.051317e-18 1.916536e-18
391 1.731152e-17 2.045528e-18 1.911178e-18
392 1.733844e-17 2.039780e-18 1.905834e-18
393 1.736536e-17 2.034072e-18 1.900530e-18
394 1.739242e-17 2.028378e-18 1.895253e-18
395 1.741948e-17 2.022724e-18 1.890002e-18
396 1.744654e-17 2.017110e-18 1.884793e-18
397 1.747373e-17 2.011510e-18 1.879610e-18
398 1.750092e-17 2.005950e-18 1.874454e-18
399 1.737842e-17 2.000431e-18 1.869325e-18
400 1.710918e-17 1.994925e-18 1.864236e-18
401 1.684425e-17 1.989459e-18 1.859175e-18
402 1.658336e-17 1.984021e-18 1.854126e-18
403 1.632664e-17 1.978609e-18 1.849119e-18
404 1.607369e-17 1.973238e-18 1.844138e-18
405 1.582478e-17 1.967893e-18 1.839184e-18
406 1.557977e-17 1.962576e-18 1.834270e-18
407 1.533840e-17 1.957285e-18 1.829370e-18
408 1.510093e-17 1.952022e-18 1.824497e-18
409 1.486696e-17 1.946785e-18 1.819664e-18
410 1.463676e-17 1.941575e-18 1.814844e-18
411 1.441006e-17 1.936406e-18 1.810052e-18
412 1.418700e-17 1.931263e-18 1.805300e-18
413 1.396717e-17 1.926134e-18 1.800561e-18
414 1.375097e-17 1.921046e-18 1.795850e-18
415 1.353800e-17 1.915984e-18 1.791178e-18
416 1.332830e-17 1.910936e-18 1.786520e-18
417 1.312188e-17 1.905928e-18 1.781890e-18
418 1.291867e-17 1.900947e-18 1.777286e-18
419 1.271860e-17 1.895980e-18 1.772709e-18
420 1.252162e-17 1.891052e-18 1.768158e-18
421 1.232770e-17 1.886152e-18 1.763622e-18
422 1.213679e-17 1.881266e-18 1.759125e-18
423 1.194883e-17 1.876419e-18 1.754643e-18
424 1.176377e-17 1.871586e-18 1.750187e-18
425 1.158159e-17 1.866781e-18 1.745758e-18
426 1.140222e-17 1.862015e-18 1.741356e-18
427 1.122564e-17 1.857263e-18 1.736967e-18
428 1.105179e-17 1.852524e-18 1.732605e-18
429 1.088064e-17 1.847826e-18 1.728271e-18
430 1.071212e-17 1.843155e-18 1.723963e-18
431 1.054623e-17 1.838497e-18 1.719669e-18
432 1.038290e-17 1.833866e-18 1.715415e-18
433 1.022211e-17 1.829262e-18 1.711161e-18
434 1.006380e-17 1.824685e-18 1.706947e-18
435 9.907933e-18 1.820122e-18 1.702747e-18
436 9.754494e-18 1.815585e-18 1.698574e-18
437 9.603424e-18 1.811075e-18 1.694427e-18
438 9.454697e-18 1.806592e-18 1.690295e-18
439 9.582747e-18 1.802123e-18 1.686175e-18
440 9.712533e-18 1.797694e-18 1.682096e-18
441 9.844070e-18 1.793265e-18 1.678031e-18
442 9.977397e-18 1.788876e-18 1.673979e-18
443 1.011251e-17 1.784501e-18 1.669967e-18
444 1.024948e-17 1.780153e-18 1.665955e-18
445 1.038830e-17 1.775818e-18 1.661984e-18
446 1.052899e-17 1.771510e-18 1.658013e-18
447 1.067158e-17 1.767230e-18 1.654082e-18
448 1.081612e-17 1.762962e-18 1.650165e-18
449 1.096260e-17 1.758722e-18 1.646261e-18
450 1.111107e-17 1.754508e-18 1.642384e-18
451 1.126154e-17 1.750308e-18 1.638520e-18
452 1.141407e-17 1.746121e-18 1.634683e-18
453 1.156865e-17 1.741975e-18 1.630874e-18
454 1.172534e-17 1.737829e-18 1.627064e-18
455 1.188413e-17 1.733723e-18 1.623294e-18
456 1.204508e-17 1.729617e-18 1.619525e-18
457 1.220822e-17 1.725551e-18 1.615783e-18
458 1.237355e-17 1.721486e-18 1.612067e-18
459 1.254113e-17 1.717461e-18 1.608365e-18
460 1.271098e-17 1.713449e-18 1.604677e-18
461 1.288313e-17 1.709451e-18 1.601015e-18
462 1.305761e-17 1.705480e-18 1.597367e-18
463 1.323446e-17 1.701522e-18 1.593746e-18
464 1.341369e-17 1.697577e-18 1.590124e-18
465 1.359535e-17 1.693674e-18 1.586543e-18
466 1.377951e-17 1.689770e-18 1.582963e-18
467 1.396609e-17 1.685893e-18 1.579409e-18
468 1.415523e-17 1.682029e-18 1.575868e-18
469 1.434693e-17 1.678192e-18 1.572355e-18
470 1.454132e-17 1.674369e-18 1.568854e-18
471 1.473827e-17 1.670573e-18 1.565368e-18
472 1.493777e-17 1.666777e-18 1.561895e-18
473 1.514010e-17 1.663021e-18 1.558448e-18
474 1.534513e-17 1.659265e-18 1.555016e-18
475 1.555298e-17 1.655536e-18 1.551596e-18
476 1.576366e-17 1.651834e-18 1.548204e-18
477 1.597717e-17 1.648132e-18 1.544811e-18
478 1.605417e-17 1.644457e-18 1.541446e-18
479 1.599278e-17 1.640795e-18 1.538107e-18
480 1.593153e-17 1.637160e-18 1.534769e-18
481 1.587055e-17 1.633539e-18 1.531457e-18
482 1.580984e-17 1.629931e-18 1.528159e-18
483 1.574939e-17 1.626337e-18 1.524874e-18
484 1.568908e-17 1.622769e-18 1.521603e-18
485 1.562904e-17 1.619216e-18 1.518345e-18
486 1.556927e-17 1.615675e-18 1.515114e-18
487 1.550963e-17 1.612148e-18 1.511897e-18
488 1.545040e-17 1.608648e-18 1.508693e-18
489 1.539130e-17 1.605161e-18 1.505503e-18
490 1.533234e-17 1.601688e-18 1.502325e-18
491 1.527365e-17 1.598228e-18 1.499162e-18
492 1.521522e-17 1.594796e-18 1.496025e-18
493 1.515707e-17 1.591363e-18 1.492889e-18
494 1.509905e-17 1.587957e-18 1.489779e-18
495 1.504129e-17 1.584564e-18 1.486683e-18
496 1.498368e-17 1.581199e-18 1.483600e-18
497 1.492633e-17 1.577834e-18 1.480531e-18
498 1.486925e-17 1.574495e-18 1.477475e-18
499 1.481244e-17 1.571156e-18 1.474432e-18
500 1.475563e-17 1.567845e-18 1.471403e-18
501 1.469923e-17 1.564547e-18 1.468388e-18
502 1.464296e-17 1.561275e-18 1.465399e-18
503 1.458695e-17 1.558004e-18 1.462411e-18
504 1.453122e-17 1.554746e-18 1.459449e-18
